[2025-04-10 13:32:02,989] - [MQTT][INFO] - Published
[2025-04-10 13:32:05,008] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:32:05,009] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:32:05,031] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:32:05,034] - [MQTT][INFO] - Published
[2025-04-10 13:32:11,266] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:32:11,268] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:32:11,271] - [MQTT][INFO] - Published
[2025-04-10 13:32:12,950] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:32:12,951] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:32:12,975] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:32:12,977] - [MQTT][INFO] - Published
[2025-04-10 13:32:15,036] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:32:15,037] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:32:15,058] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:32:15,060] - [MQTT][INFO] - Published
[2025-04-10 13:32:21,288] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:32:21,290] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:32:21,293] - [MQTT][INFO] - Published
[2025-04-10 13:32:22,786] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:32:22,788] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:32:22,809] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:32:22,811] - [MQTT][INFO] - Published
[2025-04-10 13:32:25,036] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:32:25,037] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:32:25,058] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:32:25,060] - [MQTT][INFO] - Published
[2025-04-10 13:32:31,292] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:32:31,293] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:32:31,296] - [MQTT][INFO] - Published
[2025-04-10 13:32:32,788] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:32:32,790] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:32:32,811] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:32:32,813] - [MQTT][INFO] - Published
[2025-04-10 13:32:35,034] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:32:35,036] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:32:35,058] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:32:35,060] - [MQTT][INFO] - Published
[2025-04-10 13:39:46,398] - [MQTT][INFO][gRPC MQTT] - Server thread initialized
