[2025-04-09 12:29:05,952] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 12:29:05,954] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 12:29:05,954] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 12:29:05,954] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 12:29:05,954] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 12:29:05,954] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 12:29:05,959] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:29:05,959] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:29:05,959] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:29:05,959] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:29:05,959] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 12:31:15,019] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:31:15,019] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:31:15,019] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:31:15,019] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:31:15,019] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:32:51,379] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:32:51,379] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:32:51,379] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:32:51,379] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:32:51,379] - [REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-04-09 12:47:24,569] - [REST][INFO][gRPC REST] - Server started
[2025-04-09 12:54:45,678] - [REST][INFO][gRPC REST] - Server started
[2025-04-09 13:23:26,465] - [REST][INFO][gRPC REST] - Server started
[2025-04-09 16:45:22,144] - [REST][INFO][gRPC REST] - Server started
[2025-04-09 16:53:35,242] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 16:53:35,242] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 16:53:35,244] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 16:53:35,244] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 16:53:35,256] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 16:53:35,256] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 17:25:02,249] - [REST][INFO][gRPC REST] - Server started
[2025-04-09 17:26:43,967] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:26:43,967] - [REST][INFO][REST Server] - Received Mission
