[2025-07-29 10:31:31,378][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:31:31,378][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:31:31,378][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:31:31,378][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:31:31,383][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:31:31,383][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:31:31,383][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:31:31,383][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:31:31,383][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:31:31,383][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:31:31,383][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:31:31,393][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:31:31,393][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:31:31,393][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:31:31,393][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:31:31,393][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:31:31,393][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:31:31,393][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:39:21,493][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:39:21,493][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:39:21,493][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:39:21,493][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:39:21,493][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:39:21,493][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:39:21,493][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 10:46:45,696][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-29 10:46:49,641][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:46:49,641][REST][INFO][REST Server] - Received Mission
[2025-07-29 10:46:49,645][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:46:49,645][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-29 10:46:49,655][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 10:46:49,655][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-29 11:00:55,622][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 11:00:55,622][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-29 11:58:29,098][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-29 12:06:59,584][REST][INFO][REST Server] - Received Mission
