[2026-03-12 12:36:11,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:36:12,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:36:21,061][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:36:21,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:36:22,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:36:31,098][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:36:31,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:36:32,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:36:41,136][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:36:41,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:36:42,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:36:51,172][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:36:51,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:36:52,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:37:01,210][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:37:01,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:37:02,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:37:11,243][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:37:11,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:37:12,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:37:21,281][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:37:21,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:37:22,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:37:31,318][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:37:31,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:37:32,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:37:41,356][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:37:41,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:37:42,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:37:51,392][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:37:51,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:37:52,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:38:01,431][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:38:01,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:38:02,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:38:11,467][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:38:12,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:38:12,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:38:21,505][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:38:22,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:38:22,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:38:31,541][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:38:32,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:38:32,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:38:41,578][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:38:42,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:38:42,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:38:51,617][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:38:52,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:38:52,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:39:01,654][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:39:02,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:39:02,474][Drone 3][INFO][State Vector] - State Vector sent
